period,year,month,branch_id,account_id,budget_amount
2022-01,2022,1,B002,34,-4712.4
2022-01,2022,1,B002,35,-6507.6
2022-01,2022,1,B002,36,-2692.8
2022-01,2022,1,B002,37,-2468.4
2022-01,2022,1,B002,38,-8360.0
2022-01,2022,1,B002,39,-3080.0
2022-01,2022,1,B002,40,-19360.0
2022-01,2022,1,B003,1,81092.0
2022-01,2022,1,B003,2,61886.0
2022-01,2022,1,B003,3,44814.0
2022-01,2022,1,B003,4,55484.0
2022-01,2022,1,B003,5,42768.0
2022-01,2022,1,B003,6,21384.0
2022-01,2022,1,B003,7,28512.0
2022-01,2022,1,B003,8,17820.0
2022-01,2022,1,B003,9,14256.0
2022-01,2022,1,B003,10,22572.0
2022-01,2022,1,B003,11,35420.0
2022-01,2022,1,B003,12,9603.0
2022-01,2022,1,B003,13,-10164.0
2022-01,2022,1,B003,14,-7502.0
2022-01,2022,1,B003,15,-6776.0
2022-01,2022,1,B003,16,-77000.0
2022-01,2022,1,B003,17,-16500.0
2022-01,2022,1,B003,18,-15125.0
2022-01,2022,1,B003,19,-10771.2
2022-01,2022,1,B003,20,-4936.8
2022-01,2022,1,B003,21,-4263.6
2022-01,2022,1,B003,22,-3141.6
2022-01,2022,1,B003,23,-13912.8
2022-01,2022,1,B003,24,-6956.4
2022-01,2022,1,B003,25,-6283.2
2022-01,2022,1,B003,26,-4039.2
2022-01,2022,1,B003,27,-11668.8
2022-01,2022,1,B003,28,-3590.4
2022-01,2022,1,B003,29,-5313.0
2022-01,2022,1,B003,30,-7161.0
2022-01,2022,1,B003,31,-2772.0
2022-01,2022,1,B003,32,-4039.2
2022-01,2022,1,B003,33,-3141.6
2022-01,2022,1,B003,34,-4712.4
2022-01,2022,1,B003,35,-6507.6
2022-01,2022,1,B003,36,-2692.8
2022-01,2022,1,B003,37,-2468.4
2022-01,2022,1,B003,38,-8360.0
2022-01,2022,1,B003,39,-3080.0
2022-01,2022,1,B003,40,-19360.0
2022-01,2022,1,B004,1,81092.0
2022-01,2022,1,B004,2,61886.0
2022-01,2022,1,B004,3,44814.0
2022-01,2022,1,B004,4,55484.0
2022-01,2022,1,B004,5,42768.0
2022-01,2022,1,B004,6,21384.0
2022-01,2022,1,B004,7,28512.0
2022-01,2022,1,B004,8,17820.0
2022-01,2022,1,B004,9,14256.0
2022-01,2022,1,B004,10,22572.0
2022-01,2022,1,B004,11,35420.0
2022-01,2022,1,B004,12,9603.0
2022-01,2022,1,B004,13,-10164.0
2022-01,2022,1,B004,14,-7502.0
2022-01,2022,1,B004,15,-6776.0
2022-01,2022,1,B004,16,-77000.0
2022-01,2022,1,B004,17,-16500.0
2022-01,2022,1,B004,18,-15125.0
2022-01,2022,1,B004,19,-10771.2
2022-01,2022,1,B004,20,-4936.8
2022-01,2022,1,B004,21,-4263.6
2022-01,2022,1,B004,22,-3141.6
2022-01,2022,1,B004,23,-13912.8
2022-01,2022,1,B004,24,-6956.4
2022-01,2022,1,B004,25,-6283.2
2022-01,2022,1,B004,26,-4039.2
2022-01,2022,1,B004,27,-11668.8
2022-01,2022,1,B004,28,-3590.4
2022-01,2022,1,B004,29,-5313.0
2022-01,2022,1,B004,30,-7161.0
2022-01,2022,1,B004,31,-2772.0
2022-01,2022,1,B004,32,-4039.2
2022-01,2022,1,B004,33,-3141.6
2022-01,2022,1,B004,34,-4712.4
2022-01,2022,1,B004,35,-6507.6
2022-01,2022,1,B004,36,-2692.8
2022-01,2022,1,B004,37,-2468.4
2022-01,2022,1,B004,38,-8360.0
2022-01,2022,1,B004,39,-3080.0
2022-01,2022,1,B004,40,-19360.0
2022-01,2022,1,B005,1,81092.0
2022-01,2022,1,B005,2,61886.0
2022-01,2022,1,B005,3,44814.0
2022-01,2022,1,B005,4,55484.0
2022-01,2022,1,B005,5,42768.0
2022-01,2022,1,B005,6,21384.0
2022-01,2022,1,B005,7,28512.0
2022-01,2022,1,B005,8,17820.0
2022-01,2022,1,B005,9,14256.0
2022-01,2022,1,B005,10,22572.0
2022-01,2022,1,B005,11,35420.0
2022-01,2022,1,B005,12,9603.0
2022-01,2022,1,B005,13,-10164.0
2022-01,2022,1,B005,14,-7502.0
2022-01,2022,1,B005,15,-6776.0
2022-01,2022,1,B005,16,-77000.0
2022-01,2022,1,B005,17,-16500.0
2022-01,2022,1,B005,18,-15125.0
2022-01,2022,1,B005,19,-10771.2
2022-01,2022,1,B005,20,-4936.8
2022-01,2022,1,B005,21,-4263.6
2022-01,2022,1,B005,22,-3141.6
2022-01,2022,1,B005,23,-13912.8
2022-01,2022,1,B005,24,-6956.4
2022-01,2022,1,B005,25,-6283.2
2022-01,2022,1,B005,26,-4039.2
2022-01,2022,1,B005,27,-11668.8
2022-01,2022,1,B005,28,-3590.4
2022-01,2022,1,B005,29,-5313.0
2022-01,2022,1,B005,30,-7161.0
2022-01,2022,1,B005,31,-2772.0
2022-01,2022,1,B005,32,-4039.2
2022-01,2022,1,B005,33,-3141.6
2022-01,2022,1,B005,34,-4712.4
2022-01,2022,1,B005,35,-6507.6
2022-01,2022,1,B005,36,-2692.8
2022-01,2022,1,B005,37,-2468.4
2022-01,2022,1,B005,38,-8360.0
2022-01,2022,1,B005,39,-3080.0
2022-01,2022,1,B005,40,-19360.0
2022-01,2022,1,B006,1,81092.0
2022-01,2022,1,B006,2,61886.0
2022-01,2022,1,B006,3,44814.0
2022-01,2022,1,B006,4,55484.0
2022-01,2022,1,B006,5,42768.0
2022-01,2022,1,B006,6,21384.0
2022-01,2022,1,B006,7,28512.0
2022-01,2022,1,B006,8,17820.0
2022-01,2022,1,B006,9,14256.0
2022-01,2022,1,B006,10,22572.0
2022-01,2022,1,B006,11,35420.0
2022-01,2022,1,B006,12,9603.0
2022-01,2022,1,B006,13,-10164.0
2022-01,2022,1,B006,14,-7502.0
2022-01,2022,1,B006,15,-6776.0
2022-01,2022,1,B006,16,-77000.0
2022-01,2022,1,B006,17,-16500.0
2022-01,2022,1,B006,18,-15125.0
2022-01,2022,1,B006,19,-10771.2
2022-01,2022,1,B006,20,-4936.8
2022-01,2022,1,B006,21,-4263.6
2022-01,2022,1,B006,22,-3141.6
2022-01,2022,1,B006,23,-13912.8
2022-01,2022,1,B006,24,-6956.4
2022-01,2022,1,B006,25,-6283.2
2022-01,2022,1,B006,26,-4039.2
2022-01,2022,1,B006,27,-11668.8
2022-01,2022,1,B006,28,-3590.4
2022-01,2022,1,B006,29,-5313.0
2022-01,2022,1,B006,30,-7161.0
2022-01,2022,1,B006,31,-2772.0
2022-01,2022,1,B006,32,-4039.2
2022-01,2022,1,B006,33,-3141.6
2022-01,2022,1,B006,34,-4712.4
2022-01,2022,1,B006,35,-6507.6
2022-01,2022,1,B006,36,-2692.8
2022-01,2022,1,B006,37,-2468.4
2022-01,2022,1,B006,38,-8360.0
2022-01,2022,1,B006,39,-3080.0
2022-01,2022,1,B006,40,-19360.0
2022-01,2022,1,B007,1,81092.0
2022-01,2022,1,B007,2,61886.0
2022-01,2022,1,B007,3,44814.0
2022-01,2022,1,B007,4,55484.0
2022-01,2022,1,B007,5,42768.0
2022-01,2022,1,B007,6,21384.0
2022-01,2022,1,B007,7,28512.0
2022-01,2022,1,B007,8,17820.0
2022-01,2022,1,B007,9,14256.0
2022-01,2022,1,B007,10,22572.0
2022-01,2022,1,B007,11,35420.0
2022-01,2022,1,B007,12,9603.0
2022-01,2022,1,B007,13,-10164.0
2022-01,2022,1,B007,14,-7502.0
2022-01,2022,1,B007,15,-6776.0
2022-01,2022,1,B007,16,-77000.0
2022-01,2022,1,B007,17,-16500.0
2022-01,2022,1,B007,18,-15125.0
2022-01,2022,1,B007,19,-10771.2
2022-01,2022,1,B007,20,-4936.8
2022-01,2022,1,B007,21,-4263.6
2022-01,2022,1,B007,22,-3141.6
2022-01,2022,1,B007,23,-13912.8
2022-01,2022,1,B007,24,-6956.4
2022-01,2022,1,B007,25,-6283.2
2022-01,2022,1,B007,26,-4039.2
2022-01,2022,1,B007,27,-11668.8
2022-01,2022,1,B007,28,-3590.4
2022-01,2022,1,B007,29,-5313.0
2022-01,2022,1,B007,30,-7161.0
2022-01,2022,1,B007,31,-2772.0
2022-01,2022,1,B007,32,-4039.2
2022-01,2022,1,B007,33,-3141.6
2022-01,2022,1,B007,34,-4712.4
2022-01,2022,1,B007,35,-6507.6
2022-01,2022,1,B007,36,-2692.8
2022-01,2022,1,B007,37,-2468.4
2022-01,2022,1,B007,38,-8360.0
2022-01,2022,1,B007,39,-3080.0
2022-01,2022,1,B007,40,-19360.0
2022-01,2022,1,B008,1,81092.0
2022-01,2022,1,B008,2,61886.0
2022-01,2022,1,B008,3,44814.0
2022-01,2022,1,B008,4,55484.0
2022-01,2022,1,B008,5,42768.0
2022-01,2022,1,B008,6,21384.0
2022-01,2022,1,B008,7,28512.0
2022-01,2022,1,B008,8,17820.0
2022-01,2022,1,B008,9,14256.0
2022-01,2022,1,B008,10,22572.0
2022-01,2022,1,B008,11,35420.0
2022-01,2022,1,B008,12,9603.0
2022-01,2022,1,B008,13,-10164.0
2022-01,2022,1,B008,14,-7502.0
2022-01,2022,1,B008,15,-6776.0
2022-01,2022,1,B008,16,-77000.0
2022-01,2022,1,B008,17,-16500.0
2022-01,2022,1,B008,18,-15125.0
2022-01,2022,1,B008,19,-10771.2
2022-01,2022,1,B008,20,-4936.8
2022-01,2022,1,B008,21,-4263.6
2022-01,2022,1,B008,22,-3141.6
2022-01,2022,1,B008,23,-13912.8
2022-01,2022,1,B008,24,-6956.4
2022-01,2022,1,B008,25,-6283.2
2022-01,2022,1,B008,26,-4039.2
2022-01,2022,1,B008,27,-11668.8
2022-01,2022,1,B008,28,-3590.4
2022-01,2022,1,B008,29,-5313.0
2022-01,2022,1,B008,30,-7161.0
2022-01,2022,1,B008,31,-2772.0
2022-01,2022,1,B008,32,-4039.2
2022-01,2022,1,B008,33,-3141.6
2022-01,2022,1,B008,34,-4712.4
2022-01,2022,1,B008,35,-6507.6
2022-01,2022,1,B008,36,-2692.8
2022-01,2022,1,B008,37,-2468.4
2022-01,2022,1,B008,38,-8360.0
2022-01,2022,1,B008,39,-3080.0
2022-01,2022,1,B008,40,-19360.0
2022-01,2022,1,B009,1,81092.0
2022-01,2022,1,B009,2,61886.0
2022-01,2022,1,B009,3,44814.0
2022-01,2022,1,B009,4,55484.0
2022-01,2022,1,B009,5,42768.0
2022-01,2022,1,B009,6,21384.0
2022-01,2022,1,B009,7,28512.0
2022-01,2022,1,B009,8,17820.0
2022-01,2022,1,B009,9,14256.0
2022-01,2022,1,B009,10,22572.0
2022-01,2022,1,B009,11,35420.0
2022-01,2022,1,B009,12,9603.0
2022-01,2022,1,B009,13,-10164.0
2022-01,2022,1,B009,14,-7502.0
2022-01,2022,1,B009,15,-6776.0
2022-01,2022,1,B009,16,-77000.0
2022-01,2022,1,B009,17,-16500.0
2022-01,2022,1,B009,18,-15125.0
2022-01,2022,1,B009,19,-10771.2
2022-01,2022,1,B009,20,-4936.8
2022-01,2022,1,B009,21,-4263.6
2022-01,2022,1,B009,22,-3141.6
2022-01,2022,1,B009,23,-13912.8
2022-01,2022,1,B009,24,-6956.4
2022-01,2022,1,B009,25,-6283.2
2022-01,2022,1,B009,26,-4039.2
2022-01,2022,1,B009,27,-11668.8
2022-01,2022,1,B009,28,-3590.4
2022-01,2022,1,B009,29,-5313.0
2022-01,2022,1,B009,30,-7161.0
2022-01,2022,1,B009,31,-2772.0
2022-01,2022,1,B009,32,-4039.2
2022-01,2022,1,B009,33,-3141.6
2022-01,2022,1,B009,34,-4712.4
2022-01,2022,1,B009,35,-6507.6
2022-01,2022,1,B009,36,-2692.8
2022-01,2022,1,B009,37,-2468.4
2022-01,2022,1,B009,38,-8360.0
2022-01,2022,1,B009,39,-3080.0
2022-01,2022,1,B009,40,-19360.0
2022-01,2022,1,B010,1,81092.0
2022-01,2022,1,B010,2,61886.0
2022-01,2022,1,B010,3,44814.0
2022-01,2022,1,B010,4,55484.0
2022-01,2022,1,B010,5,42768.0
2022-01,2022,1,B010,6,21384.0
2022-01,2022,1,B010,7,28512.0
2022-01,2022,1,B010,8,17820.0
2022-01,2022,1,B010,9,14256.0
2022-01,2022,1,B010,10,22572.0
2022-01,2022,1,B010,11,35420.0
2022-01,2022,1,B010,12,9603.0
2022-01,2022,1,B010,13,-10164.0
2022-01,2022,1,B010,14,-7502.0
2022-01,2022,1,B010,15,-6776.0
2022-01,2022,1,B010,16,-77000.0
2022-01,2022,1,B010,17,-16500.0
2022-01,2022,1,B010,18,-15125.0
2022-01,2022,1,B010,19,-10771.2
2022-01,2022,1,B010,20,-4936.8
2022-01,2022,1,B010,21,-4263.6
2022-01,2022,1,B010,22,-3141.6
2022-01,2022,1,B010,23,-13912.8
2022-01,2022,1,B010,24,-6956.4
2022-01,2022,1,B010,25,-6283.2
2022-01,2022,1,B010,26,-4039.2
2022-01,2022,1,B010,27,-11668.8
2022-01,2022,1,B010,28,-3590.4
2022-01,2022,1,B010,29,-5313.0
2022-01,2022,1,B010,30,-7161.0
2022-01,2022,1,B010,31,-2772.0
2022-01,2022,1,B010,32,-4039.2
2022-01,2022,1,B010,33,-3141.6
2022-01,2022,1,B010,34,-4712.4
2022-01,2022,1,B010,35,-6507.6
2022-01,2022,1,B010,36,-2692.8
2022-01,2022,1,B010,37,-2468.4
2022-01,2022,1,B010,38,-8360.0
2022-01,2022,1,B010,39,-3080.0
2022-01,2022,1,B010,40,-19360.0
2022-01,2022,1,B011,1,81092.0
2022-01,2022,1,B011,2,61886.0
2022-01,2022,1,B011,3,44814.0
2022-01,2022,1,B011,4,55484.0
2022-01,2022,1,B011,5,42768.0
2022-01,2022,1,B011,6,21384.0
2022-01,2022,1,B011,7,28512.0
2022-01,2022,1,B011,8,17820.0
2022-01,2022,1,B011,9,14256.0
2022-01,2022,1,B011,10,22572.0
2022-01,2022,1,B011,11,35420.0
2022-01,2022,1,B011,12,9603.0
2022-01,2022,1,B011,13,-10164.0
2022-01,2022,1,B011,14,-7502.0
2022-01,2022,1,B011,15,-6776.0
2022-01,2022,1,B011,16,-77000.0
2022-01,2022,1,B011,17,-16500.0
2022-01,2022,1,B011,18,-15125.0
2022-01,2022,1,B011,19,-10771.2
2022-01,2022,1,B011,20,-4936.8
2022-01,2022,1,B011,21,-4263.6
2022-01,2022,1,B011,22,-3141.6
2022-01,2022,1,B011,23,-13912.8
2022-01,2022,1,B011,24,-6956.4
2022-01,2022,1,B011,25,-6283.2
2022-01,2022,1,B011,26,-4039.2
2022-01,2022,1,B011,27,-11668.8
2022-01,2022,1,B011,28,-3590.4
2022-01,2022,1,B011,29,-5313.0
2022-01,2022,1,B011,30,-7161.0
2022-01,2022,1,B011,31,-2772.0
2022-01,2022,1,B011,32,-4039.2
2022-01,2022,1,B011,33,-3141.6
2022-01,2022,1,B011,34,-4712.4
2022-01,2022,1,B011,35,-6507.6
2022-01,2022,1,B011,36,-2692.8
2022-01,2022,1,B011,37,-2468.4
2022-01,2022,1,B011,38,-8360.0
2022-01,2022,1,B011,39,-3080.0
2022-01,2022,1,B011,40,-19360.0
2022-01,2022,1,B012,1,81092.0
2022-01,2022,1,B012,2,61886.0
2022-01,2022,1,B012,3,44814.0
2022-01,2022,1,B012,4,55484.0
2022-01,2022,1,B012,5,42768.0
2022-01,2022,1,B012,6,21384.0
2022-01,2022,1,B012,7,28512.0
2022-01,2022,1,B012,8,17820.0
2022-01,2022,1,B012,9,14256.0
2022-01,2022,1,B012,10,22572.0
2022-01,2022,1,B012,11,35420.0
2022-01,2022,1,B012,12,9603.0
2022-01,2022,1,B012,13,-10164.0
2022-01,2022,1,B012,14,-7502.0
2022-01,2022,1,B012,15,-6776.0
2022-01,2022,1,B012,16,-77000.0
2022-01,2022,1,B012,17,-16500.0
2022-01,2022,1,B012,18,-15125.0
2022-01,2022,1,B012,19,-10771.2
2022-01,2022,1,B012,20,-4936.8
2022-01,2022,1,B012,21,-4263.6
2022-01,2022,1,B012,22,-3141.6
2022-01,2022,1,B012,23,-13912.8
2022-01,2022,1,B012,24,-6956.4
2022-01,2022,1,B012,25,-6283.2
2022-01,2022,1,B012,26,-4039.2
2022-01,2022,1,B012,27,-11668.8
2022-01,2022,1,B012,28,-3590.4
2022-01,2022,1,B012,29,-5313.0
2022-01,2022,1,B012,30,-7161.0
2022-01,2022,1,B012,31,-2772.0
2022-01,2022,1,B012,32,-4039.2
2022-01,2022,1,B012,33,-3141.6
2022-01,2022,1,B012,34,-4712.4
2022-01,2022,1,B012,35,-6507.6
2022-01,2022,1,B012,36,-2692.8
2022-01,2022,1,B012,37,-2468.4
2022-01,2022,1,B012,38,-8360.0
2022-01,2022,1,B012,39,-3080.0
2022-01,2022,1,B012,40,-19360.0
2022-01,2022,1,B013,1,81092.0
2022-01,2022,1,B013,2,61886.0
2022-01,2022,1,B013,3,44814.0
2022-01,2022,1,B013,4,55484.0
2022-01,2022,1,B013,5,42768.0
2022-01,2022,1,B013,6,21384.0
2022-01,2022,1,B013,7,28512.0
2022-01,2022,1,B013,8,17820.0
2022-01,2022,1,B013,9,14256.0
2022-01,2022,1,B013,10,22572.0
2022-01,2022,1,B013,11,35420.0
2022-01,2022,1,B013,12,9603.0
2022-01,2022,1,B013,13,-10164.0
2022-01,2022,1,B013,14,-7502.0
2022-01,2022,1,B013,15,-6776.0
2022-01,2022,1,B013,16,-77000.0
2022-01,2022,1,B013,17,-16500.0
2022-01,2022,1,B013,18,-15125.0
2022-01,2022,1,B013,19,-10771.2
2022-01,2022,1,B013,20,-4936.8
2022-01,2022,1,B013,21,-4263.6
2022-01,2022,1,B013,22,-3141.6
2022-01,2022,1,B013,23,-13912.8
2022-01,2022,1,B013,24,-6956.4
2022-01,2022,1,B013,25,-6283.2
2022-01,2022,1,B013,26,-4039.2
2022-01,2022,1,B013,27,-11668.8
2022-01,2022,1,B013,28,-3590.4
2022-01,2022,1,B013,29,-5313.0
2022-01,2022,1,B013,30,-7161.0
2022-01,2022,1,B013,31,-2772.0
2022-01,2022,1,B013,32,-4039.2
2022-01,2022,1,B013,33,-3141.6
2022-01,2022,1,B013,34,-4712.4
2022-01,2022,1,B013,35,-6507.6
2022-01,2022,1,B013,36,-2692.8
2022-01,2022,1,B013,37,-2468.4
2022-01,2022,1,B013,38,-8360.0
2022-01,2022,1,B013,39,-3080.0
2022-01,2022,1,B013,40,-19360.0
2022-01,2022,1,B014,1,81092.0
2022-01,2022,1,B014,2,61886.0
2022-01,2022,1,B014,3,44814.0
2022-01,2022,1,B014,4,55484.0
2022-01,2022,1,B014,5,42768.0
2022-01,2022,1,B014,6,21384.0
2022-01,2022,1,B014,7,28512.0
2022-01,2022,1,B014,8,17820.0
2022-01,2022,1,B014,9,14256.0
2022-01,2022,1,B014,10,22572.0
2022-01,2022,1,B014,11,35420.0
2022-01,2022,1,B014,12,9603.0
2022-01,2022,1,B014,13,-10164.0
2022-01,2022,1,B014,14,-7502.0
2022-01,2022,1,B014,15,-6776.0
2022-01,2022,1,B014,16,-77000.0
2022-01,2022,1,B014,17,-16500.0
2022-01,2022,1,B014,18,-15125.0
2022-01,2022,1,B014,19,-10771.2
2022-01,2022,1,B014,20,-4936.8
2022-01,2022,1,B014,21,-4263.6
2022-01,2022,1,B014,22,-3141.6
2022-01,2022,1,B014,23,-13912.8
2022-01,2022,1,B014,24,-6956.4
2022-01,2022,1,B014,25,-6283.2
2022-01,2022,1,B014,26,-4039.2
2022-01,2022,1,B014,27,-11668.8
2022-01,2022,1,B014,28,-3590.4
2022-01,2022,1,B014,29,-5313.0
2022-01,2022,1,B014,30,-7161.0
2022-01,2022,1,B014,31,-2772.0
2022-01,2022,1,B014,32,-4039.2
2022-01,2022,1,B014,33,-3141.6
2022-01,2022,1,B014,34,-4712.4
2022-01,2022,1,B014,35,-6507.6
2022-01,2022,1,B014,36,-2692.8
2022-01,2022,1,B014,37,-2468.4
2022-01,2022,1,B014,38,-8360.0
2022-01,2022,1,B014,39,-3080.0
2022-01,2022,1,B014,40,-19360.0
2022-01,2022,1,B015,1,81092.0
2022-01,2022,1,B015,2,61886.0
2022-01,2022,1,B015,3,44814.0
2022-01,2022,1,B015,4,55484.0
2022-01,2022,1,B015,5,42768.0
2022-01,2022,1,B015,6,21384.0
2022-01,2022,1,B015,7,28512.0
2022-01,2022,1,B015,8,17820.0
2022-01,2022,1,B015,9,14256.0
2022-01,2022,1,B015,10,22572.0
2022-01,2022,1,B015,11,35420.0
2022-01,2022,1,B015,12,9603.0
2022-01,2022,1,B015,13,-10164.0
2022-01,2022,1,B015,14,-7502.0
2022-01,2022,1,B015,15,-6776.0
2022-01,2022,1,B015,16,-77000.0
2022-01,2022,1,B015,17,-16500.0
2022-01,2022,1,B015,18,-15125.0
2022-01,2022,1,B015,19,-10771.2
2022-01,2022,1,B015,20,-4936.8
2022-01,2022,1,B015,21,-4263.6
2022-01,2022,1,B015,22,-3141.6
2022-01,2022,1,B015,23,-13912.8
2022-01,2022,1,B015,24,-6956.4
2022-01,2022,1,B015,25,-6283.2
2022-01,2022,1,B015,26,-4039.2
2022-01,2022,1,B015,27,-11668.8
2022-01,2022,1,B015,28,-3590.4
2022-01,2022,1,B015,29,-5313.0
2022-01,2022,1,B015,30,-7161.0
2022-01,2022,1,B015,31,-2772.0
2022-01,2022,1,B015,32,-4039.2
2022-01,2022,1,B015,33,-3141.6
2022-01,2022,1,B015,34,-4712.4
2022-01,2022,1,B015,35,-6507.6
2022-01,2022,1,B015,36,-2692.8
2022-01,2022,1,B015,37,-2468.4
2022-01,2022,1,B015,38,-8360.0
2022-01,2022,1,B015,39,-3080.0
2022-01,2022,1,B015,40,-19360.0
2022-01,2022,1,B016,1,81092.0
2022-01,2022,1,B016,2,61886.0
2022-01,2022,1,B016,3,44814.0
2022-01,2022,1,B016,4,55484.0
2022-01,2022,1,B016,5,42768.0
2022-01,2022,1,B016,6,21384.0
2022-01,2022,1,B016,7,28512.0
2022-01,2022,1,B016,8,17820.0
2022-01,2022,1,B016,9,14256.0
2022-01,2022,1,B016,10,22572.0
2022-01,2022,1,B016,11,35420.0
2022-01,2022,1,B016,12,9603.0
2022-01,2022,1,B016,13,-10164.0
2022-01,2022,1,B016,14,-7502.0
2022-01,2022,1,B016,15,-6776.0
2022-01,2022,1,B016,16,-77000.0
2022-01,2022,1,B016,17,-16500.0
2022-01,2022,1,B016,18,-15125.0
2022-01,2022,1,B016,19,-10771.2
2022-01,2022,1,B016,20,-4936.8
2022-01,2022,1,B016,21,-4263.6
2022-01,2022,1,B016,22,-3141.6
2022-01,2022,1,B016,23,-13912.8
2022-01,2022,1,B016,24,-6956.4
2022-01,2022,1,B016,25,-6283.2
2022-01,2022,1,B016,26,-4039.2
2022-01,2022,1,B016,27,-11668.8
2022-01,2022,1,B016,28,-3590.4
2022-01,2022,1,B016,29,-5313.0
2022-01,2022,1,B016,30,-7161.0
2022-01,2022,1,B016,31,-2772.0
2022-01,2022,1,B016,32,-4039.2
2022-01,2022,1,B016,33,-3141.6
2022-01,2022,1,B016,34,-4712.4
2022-01,2022,1,B016,35,-6507.6
2022-01,2022,1,B016,36,-2692.8
2022-01,2022,1,B016,37,-2468.4
2022-01,2022,1,B016,38,-8360.0
2022-01,2022,1,B016,39,-3080.0
2022-01,2022,1,B016,40,-19360.0
2022-01,2022,1,B017,1,81092.0
2022-01,2022,1,B017,2,61886.0
2022-01,2022,1,B017,3,44814.0
2022-01,2022,1,B017,4,55484.0
2022-01,2022,1,B017,5,42768.0
2022-01,2022,1,B017,6,21384.0
2022-01,2022,1,B017,7,28512.0
2022-01,2022,1,B017,8,17820.0
2022-01,2022,1,B017,9,14256.0
2022-01,2022,1,B017,10,22572.0
2022-01,2022,1,B017,11,35420.0
2022-01,2022,1,B017,12,9603.0
2022-01,2022,1,B017,13,-10164.0
2022-01,2022,1,B017,14,-7502.0
2022-01,2022,1,B017,15,-6776.0
2022-01,2022,1,B017,16,-77000.0
2022-01,2022,1,B017,17,-16500.0
2022-01,2022,1,B017,18,-15125.0
2022-01,2022,1,B017,19,-10771.2
2022-01,2022,1,B017,20,-4936.8
2022-01,2022,1,B017,21,-4263.6
2022-01,2022,1,B017,22,-3141.6
2022-01,2022,1,B017,23,-13912.8
2022-01,2022,1,B017,24,-6956.4
2022-01,2022,1,B017,25,-6283.2
2022-01,2022,1,B017,26,-4039.2
2022-01,2022,1,B017,27,-11668.8
2022-01,2022,1,B017,28,-3590.4
2022-01,2022,1,B017,29,-5313.0
2022-01,2022,1,B017,30,-7161.0
2022-01,2022,1,B017,31,-2772.0
2022-01,2022,1,B017,32,-4039.2
2022-01,2022,1,B017,33,-3141.6
2022-01,2022,1,B017,34,-4712.4
